Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676147647.6730585,154,74047,600000000,GPS1_Frame,42.337029625,-71.09139609,11.93,1.6,327708.8995415276,4689315.602215306,74047,600000000,19,T,5
1676147648.6717908,155,74048,600000000,GPS1_Frame,42.337029226666665,-71.09139638166667,11.779,1.7,327708.87442489434,4689315.558574396,74048,600000000,19,T,5
1676147649.6717625,156,74049,600000000,GPS1_Frame,42.33702891833333,-71.09139654833334,11.604,1.6,327708.859852095,4689315.524674026,74049,600000000,19,T,5
1676147650.6761174,157,74050,600000000,GPS1_Frame,42.337028525,-71.091396895,11.469,1.6,327708.8302179759,4689315.481699772,74050,600000000,19,T,5
1676147651.6753385,158,74051,600000000,GPS1_Frame,42.33702814,-71.09139722333333,11.334,1.6,327708.8021169925,4689315.439613722,74051,600000000,19,T,5
1676147652.6745505,159,74052,600000000,GPS1_Frame,42.33702773833333,-71.09139758333333,11.207,1.6,327708.7713616529,4689315.39574113,74052,600000000,19,T,5
1676147653.6768,160,74053,600000000,GPS1_Frame,42.33702742333333,-71.09139788,11.081,1.6,327708.74606068025,4689315.361363886,74053,600000000,19,T,5
1676147654.6771686,161,74054,600000000,GPS1_Frame,42.33702708166667,-71.09139818666667,10.972,1.6,327708.7198630385,4689315.3240457745,74054,600000000,19,T,5
1676147655.6771355,162,74055,600000000,GPS1_Frame,42.33702677833333,-71.091398495,10.872,1.6,327708.69363277534,4689315.290987661,74055,600000000,19,T,5
1676147656.6789553,163,74056,600000000,GPS1_Frame,42.33702645166667,-71.09139883,10.758,1.6,327708.66514187376,4689315.255392593,74056,600000000,19,T,5
1676147657.6776006,164,74057,600000000,GPS1_Frame,42.33702609,-71.09139915833333,10.664,1.6,327708.6371046129,4689315.215897535,74057,600000000,19,T,5
1676147658.673477,165,74058,600000000,GPS1_Frame,42.337025925,-71.09139935166667,10.608,1.6,327708.6207263456,4689315.197967273,74058,600000000,19,T,5
1676147659.675107,166,74059,600000000,GPS1_Frame,42.33702587166667,-71.09139944,10.541,1.7,327708.6133034057,4689315.192223994,74059,600000000,19,T,5
