Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676145681.6950057,255,72081,600000000,GPS1_Frame,42.337120008333336,-71.09046925333334,5.746,1.0,327785.50311615213,4689323.76104941,72081,600000000,19,T,5
1676145682.697936,256,72082,600000000,GPS1_Frame,42.337119748333336,-71.09046933333333,5.833,1.0,327785.4958156559,4689323.732340415,72082,600000000,19,T,5
1676145683.6977038,257,72083,600000000,GPS1_Frame,42.337119513333334,-71.09046944166667,5.892,1.0,327785.4862491862,4689323.706464862,72083,600000000,19,T,5
1676145684.6970773,258,72084,600000000,GPS1_Frame,42.337119325,-71.09046948,5.846,1.0,327785.48257700447,4689323.685629517,72084,600000000,19,T,5
1676145685.6915243,259,72085,600000000,GPS1_Frame,42.337119205,-71.09046952333334,5.877,1.0,327785.4786794414,4689323.672392192,72085,600000000,19,T,5
1676145686.6946785,260,72086,600000000,GPS1_Frame,42.33711905,-71.09046955333334,5.935,1.0,327785.4757847914,4689323.655241381,72086,600000000,19,T,5
1676145687.690103,261,72087,600000000,GPS1_Frame,42.33711884666667,-71.09046958333333,5.998,1.0,327785.47275819746,4689323.632723522,72087,600000000,19,T,5
1676145688.6898239,262,72088,600000000,GPS1_Frame,42.337118538333335,-71.09046963333333,6.042,1.0,327785.467797287,4689323.598586718,72088,600000000,19,T,5
1676145689.6915715,263,72089,600000000,GPS1_Frame,42.337118265,-71.090469725,6.043,1.0,327785.459499242,4689323.5684207855,72089,600000000,19,T,5
1676145690.691998,264,72090,600000000,GPS1_Frame,42.337118061666665,-71.090469815,6.005,1.0,327785.45152959623,4689323.5460244445,72090,600000000,19,T,5
1676145691.6902502,265,72091,600000000,GPS1_Frame,42.337117915,-71.09046994333333,5.964,1.0,327785.4405565755,4689323.529998142,72091,600000000,19,T,5
1676145692.7041767,266,72092,600000000,GPS1_Frame,42.337117746666664,-71.09047001166667,6.024,1.0,327785.43446746434,4689323.511444405,72092,600000000,19,T,5
1676145693.692233,267,72093,600000000,GPS1_Frame,42.3371175,-71.09047007333334,6.066,1.0,327785.42871374276,4689323.484178842,72093,600000000,19,T,5
1676145694.696401,268,72094,600000000,GPS1_Frame,42.33711726,-71.090470145,6.102,1.0,327785.4221543801,4689323.457673817,72094,600000000,19,T,5
1676145695.6930456,269,72095,600000000,GPS1_Frame,42.337117033333335,-71.09047024166667,6.139,1.0,327785.4135718072,4689323.432699989,72095,600000000,19,T,5
1676145696.691108,270,72096,600000000,GPS1_Frame,42.33711677666667,-71.090470395,6.162,1.0,327785.40023890056,4689323.404509656,72096,600000000,19,T,5
1676145697.6936314,271,72097,600000000,GPS1_Frame,42.337116555,-71.09047055166667,6.185,1.0,327785.38672692265,4689323.380212559,72097,600000000,19,T,5
1676145698.7038112,272,72098,600000000,GPS1_Frame,42.33711641666667,-71.09047060333333,6.201,1.0,327785.38209277694,4689323.364956338,72098,600000000,19,T,5
1676145699.6946652,273,72099,600000000,GPS1_Frame,42.33711627666667,-71.0904707,6.218,1.0,327785.3737467894,4689323.349606183,72099,600000000,19,T,5
1676145700.6957462,274,72100,600000000,GPS1_Frame,42.33711602333333,-71.09047089666667,6.243,1.0,327785.3568529965,4689323.321873754,72100,600000000,19,T,5
1676145701.696894,275,72101,600000000,GPS1_Frame,42.33711573,-71.09047095333334,6.288,1.0,327785.3513838042,4689323.289416089,72101,600000000,19,T,5
1676145702.6920636,276,72102,600000000,GPS1_Frame,42.33711559166667,-71.09047103666667,6.301,1.0,327785.3441408237,4689323.274224001,72102,600000000,19,T,5
1676145703.6886587,277,72103,600000000,GPS1_Frame,42.337115525,-71.09047112833333,6.289,1.0,327785.33640694804,4689323.26700683,72103,600000000,19,T,5
1676145704.6917562,278,72104,600000000,GPS1_Frame,42.33711534,-71.090471345,6.276,1.0,327785.31805200956,4689323.246902805,72104,600000000,19,T,5
1676145705.6872354,279,72105,600000000,GPS1_Frame,42.337115266666665,-71.09047128166667,6.248,1.0,327785.323069489,4689323.238631426,72105,600000000,19,T,5
1676145706.688614,280,72106,600000000,GPS1_Frame,42.33711522,-71.09047127666666,6.213,1.0,327785.32335401874,4689323.2334393235,72106,600000000,19,T,5
1676145707.6922743,281,72107,600000000,GPS1_Frame,42.33711518333333,-71.09047124,6.211,1.0,327785.3262746795,4689323.229293507,72107,600000000,19,T,5
1676145708.6921027,282,72108,600000000,GPS1_Frame,42.337115176666664,-71.090471055,6.18,1.0,327785.3414975649,4689323.228178541,72108,600000000,19,T,5
1676145709.6949725,283,72109,600000000,GPS1_Frame,42.337115188333335,-71.090470815,6.154,1.0,327785.36130163143,4689323.228987961,72109,600000000,19,T,5
1676145710.695101,284,72110,600000000,GPS1_Frame,42.337115145,-71.09047055166667,6.124,1.0,327785.38287785643,4689323.2236427935,72110,600000000,19,T,5
1676145711.6927729,285,72111,600000000,GPS1_Frame,42.337115145,-71.09047031666667,6.098,1.0,327785.4022381549,4689323.223166846,72111,600000000,19,T,5
1676145712.6944656,286,72112,600000000,GPS1_Frame,42.33711512,-71.090469975,6.076,1.0,327785.43031785625,4689323.219698804,72112,600000000,19,T,5
1676145713.6988277,287,72113,600000000,GPS1_Frame,42.337115088333334,-71.09046960833334,6.063,1.0,327785.460438969,4689323.215439849,72113,600000000,19,T,5
1676145714.6955602,288,72114,600000000,GPS1_Frame,42.33711501,-71.09046928833334,6.034,1.0,327785.4865880908,4689323.206093429,72114,600000000,19,T,5
1676145715.6927571,289,72115,600000000,GPS1_Frame,42.337115006666664,-71.09046896833334,6.0,1.0,327785.512941948,4689323.205075189,72115,600000000,19,T,5
1676145716.696844,290,72116,600000000,GPS1_Frame,42.33711503,-71.09046866,5.968,1.0,327785.53840745415,4689323.207041708,72116,600000000,19,T,5
1676145717.6995609,291,72117,600000000,GPS1_Frame,42.337115025,-71.09046834166666,5.928,1.0,327785.5646194549,4689323.205841774,72117,600000000,19,T,5
1676145718.6933672,292,72118,600000000,GPS1_Frame,42.33711515,-71.09046799666666,5.889,1.1,327785.5933832485,4689323.219023341,72118,600000000,19,T,5
1676145719.6956112,293,72119,600000000,GPS1_Frame,42.33711527333333,-71.09046767,5.858,1.0,327785.62063211494,4689323.232056967,72119,600000000,19,T,5
1676145720.6903617,294,72120,600000000,GPS1_Frame,42.337115301666664,-71.09046737833333,5.828,1.0,327785.6447381951,4689323.234612453,72120,600000000,19,T,5
1676145721.6861,295,72121,600000000,GPS1_Frame,42.337115366666666,-71.090467105,5.831,1.0,327785.667433996,4689323.241276624,72121,600000000,19,T,5
1676145722.691609,296,72122,600000000,GPS1_Frame,42.33711544166667,-71.09046686,5.827,1.0,327785.6878228715,4689323.249108603,72122,600000000,19,T,5
1676145723.694843,297,72123,600000000,GPS1_Frame,42.337115465,-71.09046665,5.818,1.0,327785.70518725784,4689323.251274277,72123,600000000,19,T,5
1676145724.6908908,298,72124,600000000,GPS1_Frame,42.337115493333336,-71.09046642,5.831,1.0,327785.7242129793,4689323.253954658,72124,600000000,19,T,5
1676145725.690946,299,72125,600000000,GPS1_Frame,42.337115495,-71.09046617166666,5.827,1.0,327785.74467628275,4689323.253636777,72125,600000000,19,T,5
1676145726.6964407,300,72126,600000000,GPS1_Frame,42.33711548,-71.090466005,5.842,1.0,327785.7583660422,4689323.251633591,72126,600000000,19,T,5
1676145727.6996927,301,72127,600000000,GPS1_Frame,42.33711547666667,-71.09046581333334,5.863,1.0,327785.7741472578,4689323.250875266,72127,600000000,19,T,5
1676145728.6963181,302,72128,600000000,GPS1_Frame,42.337115471666664,-71.09046564,5.882,1.0,327785.7884135421,4689323.249969,72128,600000000,19,T,5
1676145729.6966882,303,72129,600000000,GPS1_Frame,42.33711543333333,-71.09046551333333,5.879,1.0,327785.79874423763,4689323.245455837,72129,600000000,19,T,5
1676145730.6965709,304,72130,600000000,GPS1_Frame,42.33711539666667,-71.090465425,5.889,1.0,327785.80592141737,4689323.24120538,72130,600000000,19,T,5
1676145731.6942506,305,72131,600000000,GPS1_Frame,42.33711538166666,-71.09046536333334,5.914,1.0,327785.8109608328,4689323.239414851,72131,600000000,19,T,5
1676145732.693695,306,72132,600000000,GPS1_Frame,42.337115366666666,-71.09046530833334,5.927,1.0,327785.81545101746,4689323.237637823,72132,600000000,19,T,5
1676145733.6937554,307,72133,600000000,GPS1_Frame,42.33711533666666,-71.09046526333333,5.936,1.0,327785.81907641474,4689323.234215412,72133,600000000,19,T,5
1676145734.6980574,308,72134,600000000,GPS1_Frame,42.337115266666665,-71.09046525666666,5.945,1.0,327785.81943455554,4689323.226428944,72134,600000000,19,T,5
1676145735.6923697,309,72135,600000000,GPS1_Frame,42.33711519333333,-71.09046521333333,5.967,1.1,327785.82280435157,4689323.218198074,72135,600000000,19,T,5
1676145736.6938412,310,72136,600000000,GPS1_Frame,42.33711516666666,-71.09046525,5.983,1.0,327785.8197108015,4689323.215311204,72136,600000000,19,T,5
1676145737.699633,311,72137,600000000,GPS1_Frame,42.33711513,-71.09046521,5.981,1.0,327785.82290607586,4689323.211158637,72137,600000000,19,T,5
1676145738.6991105,312,72138,600000000,GPS1_Frame,42.337115055,-71.09046523833334,6.004,1.0,327785.8203671194,4689323.202887842,72138,600000000,19,T,5
1676145739.6964772,313,72139,600000000,GPS1_Frame,42.33711503166667,-71.09046520333334,6.014,1.1,327785.82318687154,4689323.200225967,72139,600000000,19,T,5
1676145740.6969173,314,72140,600000000,GPS1_Frame,42.33711503333333,-71.09046516833334,6.029,1.0,327785.82607487135,4689323.200340153,72140,600000000,19,T,5
