Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC.secs,UTC.nsecs,Zone,Letter,fix_quality
1676146984.679861,102,73384,600000000,GPS1_Frame,42.33727081166667,-71.09050066166667,6.946,1.0,327783.32723922736,4689340.570223894,73384,600000000,19,T,5
1676146985.6884134,103,73385,600000000,GPS1_Frame,42.337270153333336,-71.09051765333334,6.962,0.9,327781.9255998897,4689340.531535042,73385,600000000,19,T,5
1676146986.6920474,104,73386,600000000,GPS1_Frame,42.33727131,-71.090532305,6.985,1.0,327780.7216939887,4689340.689649039,73386,600000000,19,T,5
1676146987.6919649,105,73387,600000000,GPS1_Frame,42.337273751666665,-71.09054848166667,6.946,1.0,327779.3956604538,4689340.993541428,73387,600000000,19,T,5
1676146988.6916606,106,73388,600000000,GPS1_Frame,42.337272158333334,-71.09056368166667,6.964,1.1,327778.1390733527,4689340.847399884,73388,600000000,19,T,5
1676146989.6862917,107,73389,600000000,GPS1_Frame,42.33726810333334,-71.09057907166667,6.919,1.5,327776.8601129083,4689340.42829404,73389,600000000,19,T,5
1676146990.6928456,108,73390,600000000,GPS1_Frame,42.337264856666664,-71.09059485,6.884,1.0,327775.55136658147,4689340.099734235,73390,600000000,19,T,5
1676146991.6922064,109,73391,600000000,GPS1_Frame,42.337261106666666,-71.09061020333333,6.796,1.5,327774.27625923144,4689339.7144225165,73391,600000000,19,T,5
1676146992.6962411,110,73392,600000000,GPS1_Frame,42.337257406666666,-71.0906263,6.782,1.1,327772.9400494157,4689339.336168741,73392,600000000,19,T,5
1676146993.69078,111,73393,600000000,GPS1_Frame,42.337252415,-71.090641325,6.787,1.0,327771.68860136357,4689338.812314822,73393,600000000,19,T,5
1676146994.6882935,112,73394,600000000,GPS1_Frame,42.33724751,-71.09065652666666,6.772,1.0,327770.4228352043,4689338.298442634,73394,600000000,19,T,5
1676146995.6908894,113,73395,600000000,GPS1_Frame,42.33724157666666,-71.09067067,6.686,1.0,327769.2414512109,4689337.668238417,73395,600000000,19,T,5
1676146996.6862168,114,73396,600000000,GPS1_Frame,42.33723581833333,-71.09068441,6.67,1.3,327768.0937730191,4689337.056649853,73396,600000000,19,T,5
1676146997.6859195,115,73397,600000000,GPS1_Frame,42.337230356666666,-71.090698715,6.716,1.1,327766.90035754535,4689336.4791484745,73397,600000000,19,T,5
1676146998.6971617,116,73398,600000000,GPS1_Frame,42.337224191666664,-71.09071056833334,6.691,1.0,327765.9070000185,4689335.818581512,73398,600000000,19,T,5
1676146999.689101,117,73399,600000000,GPS1_Frame,42.337218475,-71.090720385,6.593,1.1,327765.0826552976,4689335.203673315,73399,600000000,19,T,5
1676147000.6914272,118,73400,600000000,GPS1_Frame,42.33721385,-71.09073117833333,6.598,1.1,327764.1808290566,4689334.711964789,73400,600000000,19,T,5
